FL_DATE,ORIGIN,DEST,DEP_DELAY,TAXI_OUT,TAXI_IN,ARR_DELAY,AIR_TIME,DISTANCE
5/1/26 0:00,ABE,ORD,-10,8,19,5,133,654
5/1/26 0:00,ABE,ORD,-10,18,16,0,121,654
5/1/26 0:00,ABE,ORD,5,10,10,-5,115,654
5/1/26 0:00,ABQ,MDW,-3,8,5,-29,126,1121
5/1/26 0:00,ABQ,ORD,-8,13,12,-35,132,1118
5/1/26 0:00,ABQ,ORD,-7,8,13,-31,136,1118
5/1/26 0:00,ABQ,ORD,4,12,21,-5,138,1118
5/1/26 0:00,ABQ,ORD,53,9,20,31,133,1118
5/1/26 0:00,ALB,MDW,-9,8,3,-17,111,717
5/1/26 0:00,ALB,MDW,26,9,3,13,110,717
5/1/26 0:00,ALB,ORD,-10,9,21,-19,118,723
5/1/26 0:00,ALB,ORD,-10,22,21,-9,121,723
5/1/26 0:00,ALB,ORD,-7,21,32,-12,116,723
5/1/26 0:00,ALB,ORD,-7,28,50,32,116,723
5/1/26 0:00,ALB,ORD,-6,12,19,-31,118,723
5/1/26 0:00,ALB,ORD,-4,14,27,-25,115,723
5/1/26 0:00,ALB,ORD,-2,10,31,-1,114,723
5/1/26 0:00,ALB,ORD,-2,11,28,-30,117,723
5/1/26 0:00,ALB,ORD,15,13,21,8,112,723
5/1/26 0:00,ALO,ORD,-9,13,7,-46,38,234
5/1/26 0:00,ALO,ORD,34,12,30,29,44,234
5/1/26 0:00,ANC,ORD,-11,17,14,-23,334,2846
5/1/26 0:00,ANC,ORD,-8,16,6,-46,317,2846
5/1/26 0:00,ATL,MDW,-5,12,6,-10,92,591
5/1/26 0:00,ATL,MDW,-1,14,4,-13,90,591
5/1/26 0:00,ATL,MDW,-1,16,5,-6,88,591
5/1/26 0:00,ATL,MDW,3,11,4,-3,94,591
5/1/26 0:00,ATL,MDW,3,12,4,-5,93,591
5/1/26 0:00,ATL,MDW,6,12,2,-7,88,591
5/1/26 0:00,ATL,MDW,9,11,5,12,104,591
5/1/26 0:00,ATL,MDW,10,13,6,-7,88,591
5/1/26 0:00,ATL,MDW,15,14,9,3,90,591
5/1/26 0:00,ATL,MDW,16,10,3,6,97,591
5/1/26 0:00,ATL,ORD,-12,26,35,2,102,606
5/1/26 0:00,ATL,ORD,-10,10,22,-12,109,606
5/1/26 0:00,ATL,ORD,-9,29,21,22,122,606
5/1/26 0:00,ATL,ORD,-6,13,13,-32,92,606
5/1/26 0:00,ATL,ORD,-6,16,27,-5,100,606
5/1/26 0:00,ATL,ORD,-6,25,21,2,105,606
5/1/26 0:00,ATL,ORD,-5,16,42,12,99,606
5/1/26 0:00,ATL,ORD,-5,28,35,30,97,606
5/1/26 0:00,ATL,ORD,-4,12,11,-13,97,606
5/1/26 0:00,ATL,ORD,-4,13,34,12,100,606
5/1/26 0:00,ATL,ORD,-3,15,19,0,97,606
5/1/26 0:00,ATL,ORD,-2,12,14,-5,102,606
5/1/26 0:00,ATL,ORD,-2,16,24,-11,96,606
5/1/26 0:00,ATL,ORD,1,24,35,29,100,606
5/1/26 0:00,ATL,ORD,3,10,20,-9,100,606
5/1/26 0:00,ATL,ORD,4,20,20,-7,99,606
5/1/26 0:00,ATL,ORD,7,17,35,14,98,606
5/1/26 0:00,ATL,ORD,7,18,35,24,107,606
5/1/26 0:00,ATL,ORD,10,16,7,-8,89,606
5/1/26 0:00,ATL,ORD,25,9,25,31,101,606
5/1/26 0:00,ATW,ORD,-11,9,28,-22,39,160
5/1/26 0:00,ATW,ORD,-10,10,17,-28,40,160
5/1/26 0:00,ATW,ORD,-10,18,21,-16,42,160
5/1/26 0:00,ATW,ORD,-6,14,18,-24,39,160
5/1/26 0:00,ATW,ORD,-6,16,39,5,42,160
5/1/26 0:00,ATW,ORD,-5,15,28,-9,35,160
5/1/26 0:00,ATW,ORD,1,19,42,17,42,160
5/1/26 0:00,ATW,ORD,3,21,23,-3,42,160
5/1/26 0:00,ATW,ORD,25,29,15,31,42,160
5/1/26 0:00,ATW,ORD,48,32,29,64,42,160
5/1/26 0:00,ATW,ORD,151,17,51,173,40,160
5/1/26 0:00,AUS,MDW,-6,20,5,-14,117,972
5/1/26 0:00,AUS,MDW,0,13,4,-13,115,972
5/1/26 0:00,AUS,MDW,41,17,2,24,114,972
5/1/26 0:00,AUS,MDW,82,13,3,62,114,972
5/1/26 0:00,AUS,MDW,83,14,4,62,116,972
5/1/26 0:00,AUS,ORD,-7,18,11,-32,115,977
5/1/26 0:00,AUS,ORD,-2,21,16,-17,120,977
5/1/26 0:00,AUS,ORD,0,17,15,-20,118,977
5/1/26 0:00,AUS,ORD,12,44,11,18,122,977
5/1/26 0:00,AUS,ORD,26,14,26,11,118,977
5/1/26 0:00,AUS,ORD,27,20,15,7,116,977
5/1/26 0:00,AUS,ORD,41,25,20,33,119,977
5/1/26 0:00,AUS,ORD,51,15,12,25,121,977
5/1/26 0:00,AUS,ORD,54,16,17,29,115,977
5/1/26 0:00,AUS,ORD,157,18,11,135,114,977
5/1/26 0:00,AUS,ORD,209,18,29,198,115,977
5/1/26 0:00,AVL,ORD,-7,13,26,-15,94,536
5/1/26 0:00,AVL,ORD,-6,13,23,-10,93,536
5/1/26 0:00,AVL,ORD,-6,13,32,4,96,536
5/1/26 0:00,AVL,ORD,-6,16,16,-10,99,536
5/1/26 0:00,AVL,ORD,-2,10,20,-9,95,536
5/1/26 0:00,AVL,ORD,5,17,18,2,97,536
5/1/26 0:00,AVP,ORD,-11,10,20,-29,108,632
5/1/26 0:00,AVP,ORD,-10,9,19,-14,117,632
5/1/26 0:00,AVP,ORD,-10,14,20,-22,109,632
5/1/26 0:00,AVP,ORD,67,11,19,43,107,632
5/1/26 0:00,AZA,BMI,-1,12,7,-16,151,1348
5/1/26 0:00,AZA,MLI,25,15,5,30,156,1287
5/1/26 0:00,AZA,RFD,15,18,7,16,157,1373
5/1/26 0:00,AZO,ORD,-8,12,7,-25,38,122
5/1/26 0:00,AZO,ORD,-4,16,21,-10,35,122
5/1/26 0:00,AZO,ORD,53,19,25,46,37,122
5/1/26 0:00,BDL,MDW,-5,10,4,-14,122,776
5/1/26 0:00,BDL,MDW,-2,13,3,3,129,776
5/1/26 0:00,BDL,MDW,1,10,2,-8,124,776
5/1/26 0:00,BDL,ORD,-14,11,35,-16,123,783
5/1/26 0:00,BDL,ORD,-11,16,42,1,125,783
5/1/26 0:00,BDL,ORD,-9,11,22,-25,129,783
5/1/26 0:00,BDL,ORD,-7,12,24,-17,128,783
5/1/26 0:00,BDL,ORD,-7,15,23,-16,123,783
5/1/26 0:00,BDL,ORD,-7,17,31,1,121,783
5/1/26 0:00,BDL,ORD,-2,16,29,-2,128,783
5/1/26 0:00,BDL,ORD,27,15,46,33,128,783
5/1/26 0:00,BGR,ORD,-10,12,19,-38,141,978
5/1/26 0:00,BGR,ORD,33,11,45,29,149,978
5/1/26 0:00,BHM,MDW,13,11,3,5,88,570
5/1/26 0:00,BHM,ORD,-7,20,17,-15,102,584
5/1/26 0:00,BHM,ORD,0,18,23,1,100,584
5/1/26 0:00,BHM,ORD,32,18,28,31,106,584
5/1/26 0:00,BHM,ORD,37,17,29,45,104,584
5/1/26 0:00,BIS,ORD,-6,14,45,3,94,715
5/1/26 0:00,BLV,FLL,61,12,23,72,133,1028
5/1/26 0:00,BLV,GUF,4,13,5,2,92,582
5/1/26 0:00,BLV,PIE,-3,9,4,-15,106,841
5/1/26 0:00,BLV,VPS,2,9,4,0,88,587
5/1/26 0:00,BMI,AZA,-14,12,8,-21,192,1348
5/1/26 0:00,BMI,DFW,-9,19,5,-11,121,690
5/1/26 0:00,BMI,DFW,-8,14,11,-14,113,690
5/1/26 0:00,BMI,ORD,-11,20,28,-3,28,116
5/1/26 0:00,BMI,ORD,-9,11,8,-24,27,116
5/1/26 0:00,BMI,ORD,-2,14,21,-7,30,116
5/1/26 0:00,BMI,PIE,-3,12,7,-14,110,936
5/1/26 0:00,BNA,MDW,-8,13,4,-11,75,395
5/1/26 0:00,BNA,MDW,-5,17,4,-7,72,395
5/1/26 0:00,BNA,MDW,1,19,6,5,74,395
5/1/26 0:00,BNA,MDW,3,16,2,-6,68,395
5/1/26 0:00,BNA,MDW,49,12,3,34,65,395
5/1/26 0:00,BNA,MDW,95,12,2,78,64,395
5/1/26 0:00,BNA,ORD,-10,19,36,1,75,409
5/1/26 0:00,BNA,ORD,-9,15,43,2,71,409
5/1/26 0:00,BNA,ORD,-8,17,8,-18,77,409
5/1/26 0:00,BNA,ORD,-7,18,26,-4,77,409
5/1/26 0:00,BNA,ORD,-5,25,18,3,78,409
5/1/26 0:00,BNA,ORD,-3,19,22,5,77,409
5/1/26 0:00,BNA,ORD,0,16,43,11,82,409
5/1/26 0:00,BNA,ORD,2,27,25,6,79,409
5/1/26 0:00,BNA,ORD,4,23,16,9,79,409
5/1/26 0:00,BNA,ORD,7,19,40,12,77,409
5/1/26 0:00,BNA,ORD,8,26,22,17,84,409
5/1/26 0:00,BNA,ORD,10,16,18,10,79,409
5/1/26 0:00,BNA,ORD,13,18,43,27,75,409
5/1/26 0:00,BNA,ORD,17,21,46,42,76,409
5/1/26 0:00,BNA,ORD,25,24,18,25,77,409
5/1/26 0:00,BNA,ORD,32,18,24,15,74,409
5/1/26 0:00,BNA,ORD,54,27,8,38,75,409
5/1/26 0:00,BOI,ORD,-8,22,45,23,196,1437
5/1/26 0:00,BOI,ORD,-6,12,24,-5,184,1437
5/1/26 0:00,BOI,ORD,-4,13,18,-13,187,1437
5/1/26 0:00,BOS,MDW,-1,17,4,-21,129,861
5/1/26 0:00,BOS,MDW,0,19,2,3,142,861
5/1/26 0:00,BOS,MDW,6,18,3,-13,130,861
5/1/26 0:00,BOS,MDW,37,19,4,29,134,861
5/1/26 0:00,BOS,ORD,-14,18,26,-24,135,867
5/1/26 0:00,BOS,ORD,-12,19,24,-19,130,867
5/1/26 0:00,BOS,ORD,-11,12,27,-17,132,867
5/1/26 0:00,BOS,ORD,-11,13,30,-17,132,867
5/1/26 0:00,BOS,ORD,-11,16,24,-13,133,867
5/1/26 0:00,BOS,ORD,-10,18,29,-6,135,867
5/1/26 0:00,BOS,ORD,-10,33,30,0,131,867
5/1/26 0:00,BOS,ORD,-9,13,15,-27,134,867
5/1/26 0:00,BOS,ORD,-9,13,20,-37,133,867
5/1/26 0:00,BOS,ORD,-9,17,22,-15,133,867
5/1/26 0:00,BOS,ORD,-9,18,15,-21,135,867
5/1/26 0:00,BOS,ORD,-9,18,22,-14,136,867
5/1/26 0:00,BOS,ORD,-9,18,27,-14,142,867
5/1/26 0:00,BOS,ORD,-9,22,49,0,135,867
5/1/26 0:00,BOS,ORD,-9,30,27,6,132,867
5/1/26 0:00,BOS,ORD,-8,18,29,-9,132,867
5/1/26 0:00,BOS,ORD,-7,13,42,-2,133,867
5/1/26 0:00,BOS,ORD,-7,15,44,6,135,867
5/1/26 0:00,BOS,ORD,-6,18,25,-9,134,867
5/1/26 0:00,BOS,ORD,-6,20,21,-11,134,867
5/1/26 0:00,BOS,ORD,-5,26,26,-6,132,867
5/1/26 0:00,BOS,ORD,-2,19,22,-3,146,867
5/1/26 0:00,BOS,ORD,21,25,23,6,134,867
5/1/26 0:00,BOS,ORD,23,12,29,8,138,867
5/1/26 0:00,BOS,ORD,23,17,25,3,132,867
5/1/26 0:00,BOS,ORD,52,22,9,21,128,867
5/1/26 0:00,BTV,ORD,-10,16,22,-31,119,763
5/1/26 0:00,BTV,ORD,-8,30,34,14,120,763
5/1/26 0:00,BTV,ORD,-6,17,31,-2,122,763
5/1/26 0:00,BTV,ORD,-5,17,35,-10,117,763
5/1/26 0:00,BTV,ORD,-3,12,24,-7,118,763
5/1/26 0:00,BUF,MDW,-5,16,4,3,88,468
5/1/26 0:00,BUF,MDW,-2,11,4,-6,81,468
5/1/26 0:00,BUF,MDW,-1,20,4,9,86,468
5/1/26 0:00,BUF,ORD,-10,14,22,-22,81,474
5/1/26 0:00,BUF,ORD,-10,16,31,-14,86,474
5/1/26 0:00,BUF,ORD,-9,9,24,-15,84,474
5/1/26 0:00,BUF,ORD,-9,13,47,15,80,474
5/1/26 0:00,BUF,ORD,-4,11,15,-14,82,474
5/1/26 0:00,BUF,ORD,0,21,26,8,79,474
5/1/26 0:00,BUF,ORD,11,12,22,0,81,474
5/1/26 0:00,BUR,MDW,-5,32,2,-6,205,1740
5/1/26 0:00,BWI,MDW,0,16,2,12,114,611
5/1/26 0:00,BWI,MDW,1,12,4,-1,107,611
5/1/26 0:00,BWI,MDW,10,16,4,10,105,611
5/1/26 0:00,BWI,MDW,14,14,2,7,107,611
5/1/26 0:00,BWI,MDW,26,9,8,24,106,611
5/1/26 0:00,BWI,ORD,-11,13,16,-13,108,622
5/1/26 0:00,BWI,ORD,-11,14,25,-8,116,622
5/1/26 0:00,BWI,ORD,-10,15,35,4,114,622
5/1/26 0:00,BWI,ORD,-9,17,22,2,123,622
5/1/26 0:00,BWI,ORD,-9,23,28,7,107,622
